Country1,Country2
Germany,Italy
Panama,Panama
Sweden,Norway
Japan,China
United States,Cuba
Libya,Italy
Morocco,France
Azerbaijan,Armenia
Costa Rica,Guatemala
Costa Rica,Honduras
Costa Rica,El Salvador
Guatemala,Honduras
Guatemala,El Salvador
Honduras,El Salvador
Germany,France
United States,Nicaragua
Italy,Ethiopia
Germany,Austria
Denmark,Norway
Denmark,Belgium
Denmark,Netherlands
Denmark,France
Norway,Belgium
Norway,Netherlands
Norway,France
Belgium,Netherlands
Belgium,France
Netherlands,France
India,Pakistan
France,Tunisia
France,France
Tunisia,France
Guinea,France
Kenya,Malaysia
Israel,Israel
Jordan,Israel
Switzerland,Germany
Bangladesh,Bangladesh
Bangladesh,Pakistan
Bangladesh,Pakistan
Bangladesh,Pakistan
Denmark,Ireland
Austria,Djibouti
Austria,France
Djibouti,France
Somalia,Ethiopia
Israel,Egypt
Hong Kong,China
Portugal,Spain
Norway,Denmark
Mexico,Colombia
Austria,Finland
Austria,Sweden
Finland,Sweden
Australia,Australia
Afghanistan,Afghanistan
Hong Kong,China
Denmark,Sweden
Germany,Namibia
